suburb,property_type,bedrooms,bathrooms,parking,land_size_sqm,floor_area_sqm,year_built,property_age_years,sale_date,sale_year,sale_price,distance_to_cbd_km,school_rating
Chatswood,House,2,1,1,287,162,2015,9,2022-06-07,2022,2886299,8.9,7.4
Chatswood,House,3,3,1,415,263,2018,6,2024-04-19,2024,3333364,7.4,8.0
Parramatta,Apartment,2,1,1,0,96,2022,2,2023-10-10,2023,949027,25.1,4.7
Chatswood,House,2,1,2,200,121,2003,21,2024-11-07,2024,2757012,11.7,8.1
Parramatta,Apartment,2,2,1,0,98,2021,3,2024-09-22,2024,887632,22.3,7.0
Chatswood,Townhouse,2,2,2,167,127,1976,48,2022-01-20,2022,1735211,9.8,8.1
Chatswood,Apartment,3,2,1,0,138,2007,17,2022-03-06,2022,1371846,8.2,9.6
Parramatta,House,2,1,2,352,223,2020,4,2022-09-06,2022,1629035,23.1,7.8
Chatswood,House,2,2,2,200,101,1975,49,2022-04-09,2022,2686949,11.7,9.5
Bondi,Apartment,1,1,1,0,118,1973,51,2022-10-05,2022,1651697,6.2,7.7
Parramatta,Apartment,1,1,2,0,107,2020,4,2022-09-02,2022,854357,24.3,4.6
Chatswood,House,3,3,1,416,238,1989,35,2023-08-13,2023,2891735,10.7,7.9
Parramatta,Apartment,2,1,2,0,103,2014,10,2022-01-25,2022,928837,23.9,6.4
Parramatta,Apartment,4,4,2,0,186,2021,3,2022-12-13,2022,1134514,22.3,5.8
Bondi,Townhouse,3,2,1,216,186,2004,20,2024-01-05,2024,3161971,6.5,7.4
Bondi,House,2,1,2,438,275,2010,14,2023-01-19,2023,5660916,4.2,8.8
Bondi,House,3,2,2,373,184,1971,53,2023-03-05,2023,5018494,6.1,6.2
Parramatta,Apartment,4,3,1,0,151,2010,14,2022-08-04,2022,1068696,24.7,7.9
Bondi,Apartment,3,2,2,0,159,1972,52,2023-07-07,2023,2075098,5.6,8.2
Bondi,Apartment,3,2,1,0,136,2019,5,2024-03-07,2024,2257062,5.8,7.7
