property_id,suburb,address,property_type,bedrooms,bathrooms,parking,land_size_sqm,building_size_sqm,sold_price,sold_date,sale_method,agency,distance_to_station_km,description,source_site,listing_url,date_collected,notes
P001,Parramatta,28 Marsden Street,House,3,1,1,505.9,,1555000,02/05/2026,Auction,LJ Hooker Parramatta | Granville | Guildford | Merrylands,,"Positioned in an ultra-convenient location, this neat clad residence presents an exceptional opportunity…",domain.com.au,https://www.domain.com.au/28-marsden-street-parramatta-nsw-2150-2020744269,25/09/2026,
P002,Parramatta,1301/45 Macquarie Street,Apartment,1,1,1,,80,580000,09/06/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/1301-45-macquarie-street-parramatta-nsw-2150-2020738822,25/09/2026,Description is agency boilerplate text.
P003,Parramatta,127/3 Sorrell Street,Apartment,2,2,1,,130,764000,13/02/2026,Private treaty,McGrath Parramatta,,This stunning two bedroom apartment showcases the ultimate North East City views…,domain.com.au,https://www.domain.com.au/127-3-sorrell-street-parramatta-nsw-2150-2020502022,25/09/2026,
P004,Parramatta,2/16 Betts Street,Apartment,2,1,1,,91,660000,12/09/2026,Private treaty,Stone Real Estate Parramatta,,"Set within a tightly held block of only five residences, this stylishly updated…",domain.com.au,https://www.domain.com.au/2-16-betts-street-parramatta-nsw-2150-2021061263,25/09/2026,
P005,Parramatta,15/12 Early Street,Apartment,2,1,1,,92,493000,11/09/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/15-12-early-street-parramatta-nsw-2150-2020980997,25/09/2026,Description is agency boilerplate text.
P006,Parramatta,505/23 Hassall Street,Apartment,2,2,1,,122,660000,09/09/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/505-23-hassall-street-parramatta-nsw-2150-2020750030,25/09/2026,Description is agency boilerplate text.
P007,Parramatta,89/459-463 Church Street,Apartment,2,2,1,,136,580000,04/09/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/89-459-463-church-street-parramatta-nsw-2150-2020441602,25/09/2026,Description is agency boilerplate text.
P008,Parramatta,1702/45 Macquarie Street,Apartment,2,2,1,,,705000,04/09/2026,Private treaty,Ray White Parramatta/Oatlands/Northmead,,We've been overwhelmed by the amount of interest in similar properties…,domain.com.au,https://www.domain.com.au/1702-45-macquarie-street-parramatta-nsw-2150-2020659838,25/09/2026,Description is agency boilerplate text.
P009,Parramatta,9/178 George Street,Apartment,1,1,,,,490000,01/09/2026,Private treaty,Meriton Apartments- Residential,,This chic loft-style apartment in Meriton's sought-after Riva on George development…,domain.com.au,https://www.domain.com.au/9-178-george-street-parramatta-nsw-2150-2021070163,25/09/2026,
C001,Chatswood,602/856 Pacific Highway,Apartment,3,1,1,,,1100000,01/09/2026,Private treaty,Shead Property,,"Located in a central Chatswood setting, this sixth-floor apartment within the well-maintained Green Trees complex…",domain.com.au,https://www.domain.com.au/602-856-pacific-highway-chatswood-nsw-2067-2020822497,25/09/2026,
